Altitude Sports | https://xameleon.phantemlis.top/one/secure/0e8cd10db09b4e2b2ee7140984b168e1/1789369670/premium923/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/one/secure/0e8cd10db09b4e2b2ee7140984b168e1/1789369670/premium923/index.m3u8: Server returned 403 Forbidden (access denied)
ABC | https://xameleon.phantemlis.top/three/secure/cf4852b154c2e71359bc4b30d94e579f/1789369670/premium766/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/cf4852b154c2e71359bc4b30d94e579f/1789369670/premium766/index.m3u8: Server returned 403 Forbidden (access denied)
beIN Sports USA | https://xameleon.phantemlis.top/three/secure/76891e25f0d3b64d20782424df7265cf/1789369665/premium425/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/76891e25f0d3b64d20782424df7265cf/1789369665/premium425/index.m3u8: Server returned 403 Forbidden (access denied)
beIN Sports 1 France | https://xameleon.phantemlis.top/three/secure/5afb3a2469026a6576f0d726f1d50b4b/1789369658/premium116/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/5afb3a2469026a6576f0d726f1d50b4b/1789369658/premium116/index.m3u8: Server returned 403 Forbidden (access denied)
BET | https://xameleon.phantemlis.top/three/secure/2926fc00b210157bf31275a8826a2828/1789369668/premium306/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/2926fc00b210157bf31275a8826a2828/1789369668/premium306/index.m3u8: Server returned 403 Forbidden (access denied)
beIN Sports en Español | https://xameleon.phantemlis.top/three/secure/904e20100e4190a07386e1aeac376d30/1789369672/premium372/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/904e20100e4190a07386e1aeac376d30/1789369672/premium372/index.m3u8: Server returned 403 Forbidden (access denied)
CBS | https://xameleon.phantemlis.top/three/secure/9d3975bcd89d44a38a21fd571b59d66b/1789369660/premium767/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/9d3975bcd89d44a38a21fd571b59d66b/1789369660/premium767/index.m3u8: Server returned 403 Forbidden (access denied)
CBS Sports Network | https://xameleon.phantemlis.top/three/secure/c17b7321280b481b794ff679af409d2e/1789369658/premium308/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/c17b7321280b481b794ff679af409d2e/1789369658/premium308/index.m3u8: Server returned 403 Forbidden (access denied)
Chicago Sports Network | https://xameleon.phantemlis.top/two/secure/7cdf8a702c8371df56b6cbbea409e91e/1789369657/premium776/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/two/secure/7cdf8a702c8371df56b6cbbea409e91e/1789369657/premium776/index.m3u8: Server returned 403 Forbidden (access denied)
CNN | https://p7.usnlive.com/stream/cnn.m3u8 | HTTP 403 | https://p7.usnlive.com/stream/cnn.m3u8: Server returned 403 Forbidden (access denied)
Comedy Central | https://xameleon.phantemlis.top/three/secure/e5d88a45229d520a679a65ee7f0b91c3/1789369669/premium310/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/e5d88a45229d520a679a65ee7f0b91c3/1789369669/premium310/index.m3u8: Server returned 403 Forbidden (access denied)
Cozi TV | https://xameleon.phantemlis.top/five/secure/13a37e4d175c0f8b8510accc0fb62023/1789369658/premium748/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/five/secure/13a37e4d175c0f8b8510accc0fb62023/1789369658/premium748/index.m3u8: Server returned 403 Forbidden (access denied)
CW (Alt) | https://xameleon.phantemlis.top/one/secure/01eb7b90d89606b254e582281924898f/1789369660/premium280/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/one/secure/01eb7b90d89606b254e582281924898f/1789369660/premium280/index.m3u8: Server returned 403 Forbidden (access denied)
DAZN 1 Germany | https://xameleon.phantemlis.top/five/secure/a17e8f80b2ce62228dcfa90f0932e1c5/1789369672/premium426/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/five/secure/a17e8f80b2ce62228dcfa90f0932e1c5/1789369672/premium426/index.m3u8: Server returned 403 Forbidden (access denied)
DAZN 2 Germany | https://xameleon.phantemlis.top/five/secure/c53e78b37ae9cf22036f4b6f7b7138b5/1789369660/premium427/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/five/secure/c53e78b37ae9cf22036f4b6f7b7138b5/1789369660/premium427/index.m3u8: Server returned 403 Forbidden (access denied)
Discovery Channel | https://xameleon.phantemlis.top/three/secure/65f8df9d1990833fe3a019a2a0383bea/1789369671/premium313/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/65f8df9d1990833fe3a019a2a0383bea/1789369671/premium313/index.m3u8: Server returned 403 Forbidden (access denied)
Discovery Family Channel | https://xameleon.phantemlis.top/four/secure/0b82b23b2f06bf65141bad4d0d5dcf21/1789369662/premium657/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/four/secure/0b82b23b2f06bf65141bad4d0d5dcf21/1789369662/premium657/index.m3u8: Server returned 403 Forbidden (access denied)
Discovery Life | https://xameleon.phantemlis.top/three/secure/55c81690e944a47e19ff34ac244badd7/1789369661/premium311/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/55c81690e944a47e19ff34ac244badd7/1789369661/premium311/index.m3u8: Server returned 403 Forbidden (access denied)
ESPN2 | https://xameleon.phantemlis.top/two/secure/25e9a84669f57159b643de90fa8de8fb/1789369670/premium45/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/two/secure/25e9a84669f57159b643de90fa8de8fb/1789369670/premium45/index.m3u8: Server returned 403 Forbidden (access denied)
FETV | https://xameleon.phantemlis.top/four/secure/c1a303b7d19abc79f85eee7446d374f5/1789369673/premium751/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/four/secure/c1a303b7d19abc79f85eee7446d374f5/1789369673/premium751/index.m3u8: Server returned 403 Forbidden (access denied)
Fox | https://xameleon.phantemlis.top/three/secure/d937a0290c71d7409248b78a3ac4a905/1789369671/premium768/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/d937a0290c71d7409248b78a3ac4a905/1789369671/premium768/index.m3u8: Server returned 403 Forbidden (access denied)
Fox Business | https://xameleon.phantemlis.top/five/secure/d77ca57451b100ee578ad41be47836fa/1789369667/premium297/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/five/secure/d77ca57451b100ee578ad41be47836fa/1789369667/premium297/index.m3u8: Server returned 403 Forbidden (access denied)
Fox News | https://p7.usnlive.com/stream/foxnews.m3u8 | HTTP 403 | https://p7.usnlive.com/stream/foxnews.m3u8: Server returned 403 Forbidden (access denied)
Fox Soccer Plus | https://xameleon.phantemlis.top/five/secure/e590feeea4696c22821e988a8d9e7abb/1789369659/premium756/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/five/secure/e590feeea4696c22821e988a8d9e7abb/1789369659/premium756/index.m3u8: Server returned 403 Forbidden (access denied)
beIN Sports USA (Alt) | https://cdnlivetv.tv/secure/api/v1/6a288d2881d8192bb76cb58e/playlist.m3u8?token=NmEyODhkMjg4MWQ4MTkyYmI3NmNiNThlOjE3ODkzNzMyNzM4Njc6Y2RubGl2ZXR2LnR2OjUyMDc0M2YwNTZkYjUyMjQuY2EyNGY3ZGZmZWJjNGJjOTU1MTU5ZDAxYzBlYWIzNGIxY2NkN2IzZTA5OTQ0MjAyOWQwNDk4ZWM2YjI5NDBiZg | Max retries superati | https://cdnlivetv.tv/secure/api/v1/6a288d2881d8192bb76cb58e/playlist.m3u8?token=NmEyODhkMjg4MWQ4MTkyYmI3NmNiNThlOjE3ODkzNzMyNzM4Njc6Y2RubGl2ZXR2LnR2OjUyMDc0M2YwNTZkYjUyMjQuY2EyNGY3ZGZmZWJjNGJjOTU1MTU5
beIN Sports en Español (Alt) | https://cdnlivetv.tv/secure/api/v1/6a288d2e81d8192bb76ce5d6/playlist.m3u8?token=NmEyODhkMmU4MWQ4MTkyYmI3NmNlNWQ2OjE3ODkzNzMyNzM3MzQ6Y2RubGl2ZXR2LnR2OjViNDAwM2FmNjIyNzQzMGYuYjcwZmM3YzA0YTMzYTM1ZTNjYjM2ZTZiZGRlMTQyNDQwMmEwZWRkZWNkYzI1ZmRkYTc2OGJhZjZlZmUzNGVhNw | Max retries superati | https://cdnlivetv.tv/secure/api/v1/6a288d2e81d8192bb76ce5d6/playlist.m3u8?token=NmEyODhkMmU4MWQ4MTkyYmI3NmNlNWQ2OjE3ODkzNzMyNzM3MzQ6Y2RubGl2ZXR2LnR2OjViNDAwM2FmNjIyNzQzMGYuYjcwZmM3YzA0YTMzYTM1ZTNjYjM2
FX Movie Channel | https://xameleon.phantemlis.top/three/secure/7c77e9baafd5454e248cd491827f119a/1789369668/premium381/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/7c77e9baafd5454e248cd491827f119a/1789369668/premium381/index.m3u8: Server returned 403 Forbidden (access denied)
FX | https://xameleon.phantemlis.top/three/secure/0465acf74b3f59b082927be7d47be849/1789369657/premium317/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/0465acf74b3f59b082927be7d47be849/1789369657/premium317/index.m3u8: Server returned 403 Forbidden (access denied)
FXX | https://xameleon.phantemlis.top/five/secure/674ac128058e1e8e7a29b6c421d89603/1789369660/premium298/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/five/secure/674ac128058e1e8e7a29b6c421d89603/1789369660/premium298/index.m3u8: Server returned 403 Forbidden (access denied)
Chicago Sports Network (Alt) | https://cdnlivetv.tv/secure/api/v1/6a288d2781d8192bb76cb311/playlist.m3u8?token=NmEyODhkMjc4MWQ4MTkyYmI3NmNiMzExOjE3ODkzNzMyNTk5MDc6Y2RubGl2ZXR2LnR2OmQ1MDYzZDVmM2Q1YTdkNjAuZmZmMzA1OTllY2EzZTdjOTUzN2QzZTBlZDYwOTJhMzhkMjYxMTg5YjlkMjNlZmYyZTA1MDJjNDQ1MzA5YWE4YQ | Max retries superati | https://cdnlivetv.tv/secure/api/v1/6a288d2781d8192bb76cb311/playlist.m3u8?token=NmEyODhkMjc4MWQ4MTkyYmI3NmNiMzExOjE3ODkzNzMyNTk5MDc6Y2RubGl2ZXR2LnR2OmQ1MDYzZDVmM2Q1YTdkNjAuZmZmMzA1OTllY2EzZTdjOTUzN2Qz
FYI TV | https://xameleon.phantemlis.top/four/secure/92dc143515be09187624d0b376aa0573/1789369670/premium665/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/four/secure/92dc143515be09187624d0b376aa0573/1789369670/premium665/index.m3u8: Server returned 403 Forbidden (access denied)
Grit TV | https://xameleon.phantemlis.top/four/secure/8279bb07986570af14eeedba05e3ac94/1789369663/premium752/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/four/secure/8279bb07986570af14eeedba05e3ac94/1789369663/premium752/index.m3u8: Server returned 403 Forbidden (access denied)
Hallmark Channel | https://xameleon.phantemlis.top/three/secure/c89c91c412fe071f4fa8537d31aadf44/1789369658/premium320/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/c89c91c412fe071f4fa8537d31aadf44/1789369658/premium320/index.m3u8: Server returned 403 Forbidden (access denied)
Hallmark Mystery | https://xameleon.phantemlis.top/five/secure/d6d4ce12eac971f1ccc73cc40a94e00b/1789369667/premium296/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/five/secure/d6d4ce12eac971f1ccc73cc40a94e00b/1789369667/premium296/index.m3u8: Server returned 403 Forbidden (access denied)
HBO | https://xameleon.phantemlis.top/three/secure/df3b0ab6013ea8217df7fb28f4fd4323/1789369664/premium321/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/df3b0ab6013ea8217df7fb28f4fd4323/1789369664/premium321/index.m3u8: Server returned 403 Forbidden (access denied)
HBO Comedy | https://xameleon.phantemlis.top/one/secure/33b5455bff5a2b474f265e90ee9fd46b/1789369674/premium690/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/one/secure/33b5455bff5a2b474f265e90ee9fd46b/1789369674/premium690/index.m3u8: Server returned 403 Forbidden (access denied)
DAZN 2 Germany (Alt) | https://cdnlivetv.tv/secure/api/v1/6a288d2b81d8192bb76ccca2/playlist.m3u8?token=NmEyODhkMmI4MWQ4MTkyYmI3NmNjY2EyOjE3ODkzNzMyNjU1ODM6Y2RubGl2ZXR2LnR2OmE4MzVkYzUxZTc5OGE1ZjguNmIwY2IwODkxNjEzNDM3OTI5YTYwZGQyMzQ0YWNlMjY0OTMxYTJlMTlkOWU5NWE3MzdiOWViYThiN2NlNjhjYQ | Max retries superati | https://cdnlivetv.tv/secure/api/v1/6a288d2b81d8192bb76ccca2/playlist.m3u8?token=NmEyODhkMmI4MWQ4MTkyYmI3NmNjY2EyOjE3ODkzNzMyNjU1ODM6Y2RubGl2ZXR2LnR2OmE4MzVkYzUxZTc5OGE1ZjguNmIwY2IwODkxNjEzNDM3OTI5YTYw
DAZN 1 Germany (Alt) | https://cdnlivetv.tv/secure/api/v1/6a288d2b81d8192bb76ccca0/playlist.m3u8?token=NmEyODhkMmI4MWQ4MTkyYmI3NmNjY2EwOjE3ODkzNzMyNjM1NzI6Y2RubGl2ZXR2LnR2OjNmYmMwYmFmOWZiNGM3OGEuZTk3ODg5YTZhNThiOGI4NjJmYmVmNmVhMzRmYzk2NTBlNDhiMzU4NzcwM2Y0ZGY3ZWY3OWQ5ZTM0MjE3MDM0MA | Max retries superati | https://cdnlivetv.tv/secure/api/v1/6a288d2b81d8192bb76ccca0/playlist.m3u8?token=NmEyODhkMmI4MWQ4MTkyYmI3NmNjY2EwOjE3ODkzNzMyNjM1NzI6Y2RubGl2ZXR2LnR2OjNmYmMwYmFmOWZiNGM3OGEuZTk3ODg5YTZhNThiOGI4NjJmYmVm
Investigation Discovery | https://xameleon.phantemlis.top/two/secure/a3cac726eced86a7f1b32dbc1efe6146/1789369658/premium324/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/two/secure/a3cac726eced86a7f1b32dbc1efe6146/1789369658/premium324/index.m3u8: Server returned 403 Forbidden (access denied)
ITV1 | https://xameleon.phantemlis.top/four/secure/71203f0bf55298db9e8fe7c688f7552c/1789369673/premium350/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/four/secure/71203f0bf55298db9e8fe7c688f7552c/1789369673/premium350/index.m3u8: Server returned 403 Forbidden (access denied)
Lifetime Movie Network | https://xameleon.phantemlis.top/one/secure/9e964c3747c6e16e7ef85f1b8956239c/1789369663/premium389/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/one/secure/9e964c3747c6e16e7ef85f1b8956239c/1789369663/premium389/index.m3u8: Server returned 403 Forbidden (access denied)
Marquee Sports Network | https://xameleon.phantemlis.top/five/secure/91b5d533c32d55d42266f5a4e91480f2/1789369663/premium770/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/five/secure/91b5d533c32d55d42266f5a4e91480f2/1789369663/premium770/index.m3u8: Server returned 403 Forbidden (access denied)
MeTV | https://xameleon.phantemlis.top/five/secure/187804eb3c7c7b6554f6737fe46788d3/1789369660/premium662/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/five/secure/187804eb3c7c7b6554f6737fe46788d3/1789369660/premium662/index.m3u8: Server returned 403 Forbidden (access denied)
MGM+ | https://xameleon.phantemlis.top/three/secure/3177b73fefc2d8a09671458dcc4b64da/1789369657/premium791/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/3177b73fefc2d8a09671458dcc4b64da/1789369657/premium791/index.m3u8: Server returned 403 Forbidden (access denied)
MLB Network | https://xameleon.phantemlis.top/two/secure/4ad2182d25ad94621c797091623a7ce2/1789369658/premium399/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/two/secure/4ad2182d25ad94621c797091623a7ce2/1789369658/premium399/index.m3u8: Server returned 403 Forbidden (access denied)
MS NOW | https://p7.usnlive.com/stream/msnbc.m3u8 | HTTP 403 | https://p7.usnlive.com/stream/msnbc.m3u8: Server returned 403 Forbidden (access denied)
NBC | https://xameleon.phantemlis.top/three/secure/9cf68ad0ccbbae6795618abf61c40dac/1789369672/premium769/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/9cf68ad0ccbbae6795618abf61c40dac/1789369672/premium769/index.m3u8: Server returned 403 Forbidden (access denied)
NBC Sports Bay Area | https://xameleon.phantemlis.top/two/secure/49bd7327c8982f1f7abb2ff628e4b672/1789369666/premium753/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/two/secure/49bd7327c8982f1f7abb2ff628e4b672/1789369666/premium753/index.m3u8: Server returned 403 Forbidden (access denied)
NBC Sports Boston | https://xameleon.phantemlis.top/two/secure/412c29b3f750e5715fd246670e2d4260/1789369671/premium754/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/two/secure/412c29b3f750e5715fd246670e2d4260/1789369671/premium754/index.m3u8: Server returned 403 Forbidden (access denied)
NBC Sports California | https://xameleon.phantemlis.top/two/secure/72e3bd849c5c77566489dcae951b185a/1789369674/premium755/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/two/secure/72e3bd849c5c77566489dcae951b185a/1789369674/premium755/index.m3u8: Server returned 403 Forbidden (access denied)
NBC Sports Philadelphia | https://xameleon.phantemlis.top/three/secure/4ec420267b9f42d7b1d69c346e7c9133/1789369664/premium777/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/4ec420267b9f42d7b1d69c346e7c9133/1789369664/premium777/index.m3u8: Server returned 403 Forbidden (access denied)
NESN | https://xameleon.phantemlis.top/one/secure/ce56817d5f9ee5ce631726beae2894c7/1789369659/premium762/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/one/secure/ce56817d5f9ee5ce631726beae2894c7/1789369659/premium762/index.m3u8: Server returned 403 Forbidden (access denied)
NewsNation | https://xameleon.phantemlis.top/one/secure/d405cd267a2c13899d6352820c1ac80c/1789369665/premium292/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/one/secure/d405cd267a2c13899d6352820c1ac80c/1789369665/premium292/index.m3u8: Server returned 403 Forbidden (access denied)
NFL Network | https://xameleon.phantemlis.top/three/secure/a7f92f930f88325e2153750b09489b76/1789369666/premium405/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/a7f92f930f88325e2153750b09489b76/1789369666/premium405/index.m3u8: Server returned 403 Forbidden (access denied)
NHL Network | https://xameleon.phantemlis.top/four/secure/df681ce7ee6c6fc30669e444f61bdeac/1789369663/premium663/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/four/secure/df681ce7ee6c6fc30669e444f61bdeac/1789369663/premium663/index.m3u8: Server returned 403 Forbidden (access denied)
Nickelodeon | https://xameleon.phantemlis.top/two/secure/5e5b628382d666cf51136129c345a80f/1789369665/premium330/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/two/secure/5e5b628382d666cf51136129c345a80f/1789369665/premium330/index.m3u8: Server returned 403 Forbidden (access denied)
Oxygen True Crime | https://xameleon.phantemlis.top/two/secure/0927c66150dd22ffc3769c034d52ca1e/1789369661/premium332/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/two/secure/0927c66150dd22ffc3769c034d52ca1e/1789369661/premium332/index.m3u8: Server returned 403 Forbidden (access denied)
Pop TV | https://xameleon.phantemlis.top/five/secure/7109f5ceaa4948538838a3efd74d77d2/1789369664/premium653/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/five/secure/7109f5ceaa4948538838a3efd74d77d2/1789369664/premium653/index.m3u8: Server returned 403 Forbidden (access denied)
Premier Sports 1 | https://xameleon.phantemlis.top/five/secure/017d012d2b4f427f602dfa778914a982/1789369664/premium771/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/five/secure/017d012d2b4f427f602dfa778914a982/1789369664/premium771/index.m3u8: Server returned 403 Forbidden (access denied)
Premier Sports 2 | https://xameleon.phantemlis.top/three/secure/6fcf77e0fd84d656e960b30d3a6fe77a/1789369662/premium799/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/6fcf77e0fd84d656e960b30d3a6fe77a/1789369662/premium799/index.m3u8: Server returned 403 Forbidden (access denied)
Fox Soccer Plus (Alt) | https://cdnlivetv.tv/secure/api/v1/6a288d2a81d8192bb76cbe68/playlist.m3u8?token=NmEyODhkMmE4MWQ4MTkyYmI3NmNiZTY4OjE3ODkzNzMyNjAzMDQ6Y2RubGl2ZXR2LnR2OmVhYWFlMzY1YzlkMmZjNDkuNTNjMDIyNDM1YWNkYWE0OGQzZTIwNzZiMTMyN2ZmMWY0ZGI1ZGZmMjljN2YyM2YyODg1MjJiMGYyYmVkMTIyOQ | Max retries superati | https://cdnlivetv.tv/secure/api/v1/6a288d2a81d8192bb76cbe68/playlist.m3u8?token=NmEyODhkMmE4MWQ4MTkyYmI3NmNiZTY4OjE3ODkzNzMyNjAzMDQ6Y2RubGl2ZXR2LnR2OmVhYWFlMzY1YzlkMmZjNDkuNTNjMDIyNDM1YWNkYWE0OGQzZTIw
Science Channel | https://xameleon.phantemlis.top/one/secure/d81a2d40f698f17f9bd846eaed89902d/1789369669/premium294/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/one/secure/d81a2d40f698f17f9bd846eaed89902d/1789369669/premium294/index.m3u8: Server returned 403 Forbidden (access denied)
Showtime | https://xameleon.phantemlis.top/two/secure/4093d0e33738d1ff79c07646607dd42f/1789369667/premium333/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/two/secure/4093d0e33738d1ff79c07646607dd42f/1789369667/premium333/index.m3u8: Server returned 403 Forbidden (access denied)
Showtime 2 | https://xameleon.phantemlis.top/three/secure/e2157744ac0c3b6049b366d9117f438a/1789369662/premium792/index.m3u8 | HTTP 403 | https://xameleon.phantemlis.top/three/secure/e2157744ac0c3b6049b366d9117f438a/1789369662/premium792/index.m3u8: Server returned 403 Forbidden (access denied)
